orthogroup	n	avg_bp_length
OG0000078	3	318.8666666666667
OG0000079	3	1071.625
OG0000080	4	526.1111111111111
OG0000081	4	305.54347826086956
OG0000082	3	1349.0869565217392
OG0000083	2	302.04
OG0000085	3	366.25531914893617
OG0000086	3	584.7058823529412
OG0000087	3	1793.3181818181818
OG0000088	3	676.6744186046511
OG0000089	3	461.36170212765956
OG0000090	3	692.4285714285714
OG0000092	3	1119.7857142857142
OG0000093	4	267.72972972972974
OG0000094	3	481.14285714285717
OG0000095	3	686.8571428571429
OG0000096	3	460.4634146341463
OG0000097	3	942.2368421052631
OG0000098	3	467.1219512195122
OG0000100	4	767.9285714285714
OG0000101	3	2113.153846153846
OG0000103	3	430.3695652173913
OG0000104	3	782.775
OG0000105	3	785.625
OG0000106	3	289.2631578947368
OG0000107	3	5193.976744186047
OG0000108	4	1213.8
OG0000109	3	2634.4285714285716
OG0000110	3	4645.5
OG0000111	3	595.1842105263158
OG0000112	3	1137
OG0000113	3	817.3421052631579
OG0000114	3	2211
OG0000115	3	1490.7631578947369
OG0000116	3	1314.5526315789473
OG0000117	3	1649.7631578947369
OG0000118	3	609
OG0000119	3	1215.3076923076924
OG0000120	3	1203
OG0000122	3	758.5263157894736
OG0000123	3	702
OG0000124	3	393.3157894736842
OG0000125	3	1567.6153846153845
OG0000126	3	729
OG0000127	3	1611.2368421052631
OG0000128	3	768.2368421052631
OG0000129	3	1316
OG0000130	3	1156.4166666666667
OG0000131	3	792
OG0000132	3	401.5263157894737
OG0000133	3	1581.923076923077
OG0000134	3	730.6153846153846
OG0000135	3	1099.0975609756097
OG0000137	3	312.7105263157895
OG0000138	3	323.2105263157895
OG0000139	4	144
OG0000140	3	478.6363636363636
OG0000141	3	329.0625
OG0000142	3	826.6578947368421
OG0000143	3	597
OG0000144	3	589.8947368421053
OG0000145	3	708
OG0000146	3	875.6842105263158
OG0000147	3	824.5263157894736
OG0000148	3	510.39473684210526
OG0000149	3	844.2631578947369
OG0000150	3	299.92105263157896
OG0000151	3	643.578947368421
OG0000152	3	590.921052631579
OG0000153	3	796.9736842105264
OG0000154	3	465
OG0000155	3	504.4736842105263
OG0000156	3	1228.1052631578948
OG0000157	3	1576.578947368421
OG0000158	3	323.92105263157896
OG0000159	3	3121.1052631578946
OG0000160	3	2490.5526315789475
OG0000161	3	999
OG0000162	3	1320
OG0000163	3	921
OG0000164	3	1406.1315789473683
OG0000165	3	785.5263157894736
OG0000166	3	1533
OG0000167	3	1964.4473684210527
OG0000168	3	1764.2368421052631
OG0000169	3	747.3947368421053
OG0000170	3	1173
OG0000171	3	1201.1052631578948
OG0000172	3	649.3421052631579
OG0000173	3	1099.7368421052631
OG0000174	3	661.578947368421
OG0000175	3	1784.921052631579
OG0000176	3	723
OG0000177	3	563.2105263157895
OG0000178	3	1893
OG0000179	3	1144.342105263158
OG0000180	3	906
OG0000181	3	915
OG0000182	3	1822.342105263158
OG0000183	3	849
OG0000184	3	866.8421052631579
OG0000185	3	760.8947368421053
OG0000186	3	930
OG0000187	3	528.6315789473684
